Sab. 26 Dicembre|Alle ore 21, presso il <a href="http://maps.google.it/maps?f=q&amp;hl=it&amp;geocode=&amp;q=via+s.+francesco+d'assisi+23+collebeato+brescia+italy&amp;sll=45.584942,10.218787&amp;sspn=0.011383,0.023346&amp;ie=UTF8&amp;ll=45.584942,10.218444&amp;spn=0.011383,0.023346&amp;z=16&amp;om=1" target="_blank">bar Oasi</a> di Collebeato, ci si ritrova per il brindisi di inizio anno del Lug.
Gio. 10 Dicembre|Alle ore 20:30, presso la scuola elementare di <a href="http://maps.google.it/maps?f=q&source=s_q&hl=it&geocode=&q=via+ponte,+7+-+darfo+boario+terme+(BS)&sll=45.934231,10.244025&sspn=0.009178,0.017874&ie=UTF8&hq=&hnear=Via+del+Ponte,+7,+25047+Darfo+Boario+Terme+Brescia,+Lombardia&ll=45.885552,10.193078&spn=0.001148,0.002234&t=h&z=19">Darfo-Montecchio</a>, si svolge il nono incontro relativo al progetto <a href="/attivita/didattica/linux_nelle_scuole/">Linux nelle Scuole</a>.
Gio. 26 Novembre|Alle ore 20:30, presso la scuola elementare di <a href="http://maps.google.it/maps?sourceid=chrome&q=Via%20Tenente%20Bertenghi,%204%20Darfo&um=1&ie=UTF-8&sa=N&hl=it&tab=wl">Darfo-Pellalepre</a>, si svolge l'ottavo incontro relativo al progetto <a href="/attivita/didattica/linux_nelle_scuole/">Linux nelle Scuole</a>.
Mer. 18 Novembre|Alle ore 20:30, presso la scuola di <a href="http://maps.google.it/maps/place?sourceid=chrome&um=1&ie=UTF-8&q=scuola+elementare+angolo+terme&fb=1&gl=it&hq=scuola+elementare&hnear=angolo+terme&cid=747718134447486050">Angolo Terme</a>, si svolge il settimo incontro relativo al progetto <a href="/attivita/didattica/linux_nelle_scuole/">Linux nelle Scuole</a>.
Gio. 12 Novembre|Alle ore 20:30, presso la scuola elementare di <a href="http://maps.google.it/maps?sourceid=chrome&q=Via%20Tenente%20Bertenghi,%204%20Darfo&um=1&ie=UTF-8&sa=N&hl=it&tab=wl">Darfo-Pellalepre</a>, si svolge il sesto incontro relativo al progetto <a href="/attivita/didattica/linux_nelle_scuole/">Linux nelle Scuole</a>.
Ven. 6 Novembre|Alle ore 21:00, presso la <a href="http://maps.google.it/maps?f=q&source=s_q&hl=it&geocode=&q=Via+Bevilacqua,+13+-+concesio+(bs)&sll=45.599485,10.225044&sspn=0.007882,0.017874&ie=UTF8&hq=&hnear=Via+Cardinale+Giulio+Bevilacqua,+13,+25062+Concesio+Brescia,+Lombardia&t=h&z=16">pizzeria il Grillo di Concesio</a>, ci si ritrova per una pizzata. La serata &egrave; aperta a tutti. Per evidenti ragioni logistiche &egrave; gradita una segnalazione della propria presenza a <a href="mailto:pizza@lugbs.linux.it">pizza@lugbs.linux.it</a>.
Gio. 5 Novembre|Alle ore 20:30, presso la scuola di <a href="http://maps.google.it/maps/place?sourceid=chrome&um=1&ie=UTF-8&q=scuola+elementare+angolo+terme&fb=1&gl=it&hq=scuola+elementare&hnear=angolo+terme&cid=747718134447486050">Angolo Terme</a>, si svolge il quinto incontro relativo al progetto <a href="/attivita/didattica/linux_nelle_scuole/">Linux nelle Scuole</a>.
Gio. 29 Ottobre|Alle ore 20:30, presso la scuola media <i>Darfo 1</i> di <a href="http://maps.google.it/maps?f=q&source=s_q&hl=it&geocode=&q=via+guglielmo+Ghislandi,+24+-+darfo+boario+terme+(BS)&sll=41.442726,12.392578&sspn=19.282922,36.606445&ie=UTF8&hq=&hnear=Via+Guglielmo+Ghislandi,+25047+Darfo+Boario+Terme+Brescia,+Lombardia&ll=45.882406,10.181124&spn=0.002188,0.004469&t=h&z=18">Darfo Boario Terme</a>, si svolge il quarto incontro relativo al progetto <a href="/attivita/didattica/linux_nelle_scuole/">Linux nelle Scuole</a>.
Dom. 25 Ottobre|Grazie al tempismo di <a href="mailto:emanuele.bonardi@lugbs.linux.it">Emanuele</a> &egrave; disponibile un <a href="http://www.youtube.com/watch?v=7OAERwbU7LE">sunto video</a> del <a href="http://lugbs.linux.it/attivita/linux_day/linux_day_13/">tredicesimo Linux Day</a>.
Sab. 24 Ottobre|Il LugBS aderisce al <a href="http://www.linuxday.it/">Linux Day Nazionale</a>. Tutti i dettagli nell'<a href="/attivita/linux_day/linux_day_13/">apposita sezione</a>.
Sab. 24 Ottobre|Il <a href="http://www.kenparker.eu/LugCastegnato/">Lug di Castegnato</a> aderisce al <a href="http://www.linuxday.it/">Linux Day Nazionale</a>. Tutti i dettagli nell'<a href="http://www.kenparker.eu/LugCastegnato/viewtopic.php?id=314">annuncio</a>. 
